"bairro","location","preco","quartos","m2","corretora","data","link","pm2"
"Asa Norte ","SGAN 911 GARDEN PARK",250000,1,27,"16799",2014-01-02,"/imovel/venda-apartamento-brasilia-df-1-quarto-sgan-911-1156950",9259.25925925926
"Asa Norte ","CLN 408 ** OPORTUNIDADE DA SEMANA **",250000,1,43,"13880",2013-12-26,"/imovel/venda-apartamento-brasilia-df-1-quarto-cln-408-1063946",5813.95348837209
"Asa Norte ","SCRN 714/715 ",250000,1,29.34,"5179",2013-12-11,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-714-715-901990",8520.79072937969
"Sudoeste ","QMSW 06 ",255000,1,30.29,"21054",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-06-1164307",8418.62000660284
"Asa Norte ","SHCGN 709 BLOCO C BL. C ENTRADA 11",255000,1,36,"6899",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-shcgn-709-bloco-c-1163249",7083.33333333333
"Asa Norte ","SCLRN 711 ",255000,1,36,"17001",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-sclrn-711-1037685",7083.33333333333
"Asa Norte ","SCRN 714/715 ",255000,1,34,"8538",2013-12-10,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-714-715-855398",7500
"Asa Norte ","SCRN 714/715 ",255000,1,38,"8538",2013-12-10,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-714-715-855400",6710.52631578947
"Asa Norte ","SCRN 704/705 UNID: 315, PRONTO, CONDOMINIO FECHADO",256189.8,1,27.11,"6252",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-704-705-704163",9450.0110660273
"Asa Sul ","CRS 515 - DESOCUPADO!!!",259000,2,38,"7421",2014-01-22,"/imovel/venda-apartamento-brasilia-df-2-quartos-crs-515-1147711",6815.78947368421
"Asa Norte ","SCLRN 713 TENHO OUTRO DE 60M? ?TEIS  COM ELEVADOR!",260000,2,43,"8247",2014-01-16,"/imovel/venda-apartamento-brasilia-df-2-quartos-sclrn-713-1069506",6046.51162790698
"Asa Norte ","SCRN 714/715 TROCO APTO 02 QTOS ?GUAS CLARAS!!",260000,1,40,"18848",2013-12-16,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-714-715-558477",6500
"Asa Norte ","SCLRN 713 ",265000,2,43,"17001",2014-01-29,"/imovel/venda-apartamento-brasilia-df-2-quartos-sclrn-713-1104882",6162.79069767442
"Asa Norte ","SCRN 712/713 / 9232-4947",265000,1,37,"12180",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-712-713-1159472",7162.16216216216
"Asa Norte ","SCLRN 713 ",265000,2,43,"17001",2014-01-28,"/imovel/venda-apartamento-brasilia-df-2-quartos-sclrn-713-818537",6162.79069767442
"Asa Norte ","SCRN 712/713 DESOCUPADO, ELEVADOR, NASCENTE NICE 8493-1601",265000,1,37,"11018",2014-01-24,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-712-713-1162837",7162.16216216216
"Asa Norte ","SCRN 712/713 ",265000,1,37,"12268",2014-01-20,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-712-713-1092084",7162.16216216216
"Asa Norte ","SCLRN 713 TD REFORMADO 712/713",265000,1,37,"17754",2014-01-16,"/imovel/venda-apartamento-brasilia-df-1-quarto-sclrn-713-1092228",7162.16216216216
"Asa Norte ","SCLRN 713 43M? ?TEIS, NASCENTE, VISTA LIVRE.",265000,1,43,"8247",2014-01-06,"/imovel/venda-apartamento-brasilia-df-1-quarto-sclrn-713-1069504",6162.79069767442
"Sudoeste ","CCSW 04 RESIDENCIAL TOP MASTER ( ALUGADO )",267000,1,30,"10385",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-ccsw-04-1162263",8900
"Asa Norte ","SCRN 714/715 ACEITA FINANCIAMENTO E FGTS. NASCENTE  NICE 8493",268000,1,37,"11018",2014-01-20,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-714-715-811102",7243.24324324324
"Asa Sul ","CRS 502 MOBILIADO, COZINHA AMERICANA E AR CONDICIONADO.",270000,1,33,"10075",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-crs-502-1162620",8181.81818181818
"Asa Norte ","CLN 204 BLOCO D ",270000,1,47,"7857",2014-01-24,"/imovel/venda-apartamento-brasilia-df-1-quarto-cln-204-bloco-d-997074",5744.68085106383
"Sudoeste ","QMSW 05 ",270000,1,33,"12220",2014-01-21,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-05-752664",8181.81818181818
"Asa Norte ","CLN 204 BLOCO D LINDO APARTAMENTO",270000,1,47,"14709",2014-01-17,"/imovel/venda-apartamento-brasilia-df-1-quarto-cln-204-bloco-d-1160633",5744.68085106383
"Asa Norte ","SCLRN 715 BLOCO F ",270000,2,45,"7783",2014-01-14,"/imovel/venda-apartamento-brasilia-df-2-quartos-sclrn-715-bloco-f-980770",6000
"Asa Sul ","CRS 515 BARATO!!! COM ARM?RIOS.",270000,2,42,"10075",2014-01-14,"/imovel/venda-apartamento-brasilia-df-2-quartos-crs-515-1063234",6428.57142857143
"Asa Norte ","SCRN 710/711 BLOCO C ",270000,1,32.2,"1703",2014-01-07,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-710-711-bloco-c-1069526",8385.09316770186
"Asa Norte ","SGAN 906 -STUDIO 906 -  2 ANDAR, COM VAGA!!!8458-3156",270000,1,26.81,"12027",2014-01-05,"/imovel/venda-apartamento-brasilia-df-1-quarto-sgan-906-954546",10070.869078702
"Asa Norte ","SCRN 704/705 ACEITA FGTS E FINAC. RES / 8595-2022",270000,1,39,"12180",2013-12-16,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-704-705-1148877",6923.07692307692
"Sudoeste ","CLSW 103 ",270000,1,39,"5295",2013-12-11,"/imovel/venda-apartamento-brasilia-df-1-quarto-clsw-103-1014391",6923.07692307692
"Sudoeste ","QMSW 04 ",270000,1,37,"12571",2013-12-06,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-04-1118492",7297.2972972973
"Asa Norte ","SCRN 704/705 PIAZZA VITTA - LIGUE J? 8123-0648",270422.4,1,27.11,"9735",2014-01-18,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-704-705-721386",9975.00553301365
"Asa Norte ","SHCGN 704 PIAZZA VITTA-704 ASA NORTE-1Q-27M2-CARLA 81085530",270964,1,27.11,"14005",2014-01-21,"/imovel/venda-apartamento-brasilia-df-1-quarto-shcgn-704-274979",9994.98340095906
"Asa Norte ","SCRN 714/715 - SUPER REFORMADO - SUITE",275000,1,39,"8791",2014-01-21,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-714-715-874781",7051.28205128205
"Asa Norte ","SCLRN 713 FRENTE LIVRE 1ANDAR SO 275MIL",275000,2,48,"8904",2014-01-07,"/imovel/venda-apartamento-brasilia-df-2-quartos-sclrn-713-1157744",5729.16666666667
"Asa Norte ","SCLRN 703 AMPLO APTO NO CENTRO DO PLANO PILOTO, VEJA",280000,1,55,"17610",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-sclrn-703-845735",5090.90909090909
"Sudoeste ","QRSW 07 ED. VERDES MARES!!",280000,1,29.35,"7174",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-qrsw-07-829036",9540.03407155026
"Sudoeste ","QMSW 04 ",280000,2,49,"7569",2014-01-23,"/imovel/venda-apartamento-brasilia-df-2-quartos-qmsw-04-1159557",5714.28571428571
"Asa Norte ","SCLRN 716 BLOCO F 2? ANDAR",280000,2,55,"1906",2014-01-20,"/imovel/venda-apartamento-brasilia-df-2-quartos-sclrn-716-bloco-f-999656",5090.90909090909
"Asa Sul ","SQS 405 BLOCO T ",280000,1,30,"4582",2013-12-17,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqs-405-bloco-t-1009954",9333.33333333333
"Asa Norte ","SCLRN 710 BLOCO C ",280000,1,37.1,"12571",2013-12-16,"/imovel/venda-apartamento-brasilia-df-1-quarto-sclrn-710-bloco-c-1022284",7547.16981132075
"Asa Norte ","SCLRN 704 SAQUE O SEU FGTS COM O RESIDENCIAL PIAZZA!!!",284000,1,27,"7660",2013-12-10,"/imovel/venda-apartamento-brasilia-df-1-quarto-sclrn-704-347311",10518.5185185185
"Asa Norte ","SCRN 706/707 BLOCO E ",285000,2,52,"8538",2014-01-27,"/imovel/venda-apartamento-brasilia-df-2-quartos-scrn-706-707-bloco-e-1155173",5480.76923076923
"Asa Norte ","SCLRN 710 BLOCO G ACEITO LOTE NO TAQUARI",285000,2,45.74,"7173",2014-01-24,"/imovel/venda-apartamento-brasilia-df-2-quartos-sclrn-710-bloco-g-1162799",6230.87013554875
"Asa Norte ","SCRN 710/711 BLOCO F ",285000,2,50,"10589",2014-01-18,"/imovel/venda-apartamento-brasilia-df-2-quartos-scrn-710-711-bloco-f-764756",5700
"Asa Sul ","SQS 411 JK  R$ 285.000,00 DOIS QUARTOS,  ACEITA FINANCIAMEN",285000,2,49.5,"8247",2014-01-16,"/imovel/venda-apartamento-brasilia-df-2-quartos-sqs-411-1007713",5757.57575757576
"Asa Norte ","SCLRN 703 BLOCO E ",285000,2,52,"11410",2014-01-07,"/imovel/venda-apartamento-brasilia-df-2-quartos-sclrn-703-bloco-e-1026010",5480.76923076923
"Asa Norte ","SCLRN 715 BLOCO F ",285000,2,44,"8538",2013-12-18,"/imovel/venda-apartamento-brasilia-df-2-quartos-sclrn-715-bloco-f-1155162",6477.27272727273
"Asa Norte ","SCRN 708/709 ***ANDAR ALTO,ELEVADOR,ACEITA FIN/FGTS",285000,1,33,"10380",2013-12-17,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-708-709-972244",8636.36363636364
"Noroeste ","SQNW ? STYLO ? 1 QUARTO",290000,1,36.45,"14999",2014-01-24,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqnw-400370",7956.10425240055
"Asa Norte ","SCRN 714/715 ",290000,1,38,"6390",2014-01-16,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-714-715-1157380",7631.57894736842
"Sudoeste ","QMSW 04 DESOCUPADO, AVALIA??O GRATUITA!!!",290000,2,49,"9025",2014-01-14,"/imovel/venda-apartamento-brasilia-df-2-quartos-qmsw-04-166696",5918.36734693878
"Asa Norte ","SCLRN 710 REFORMADO 2ANDAR UMA GRA?A",290000,2,58,"8904",2014-01-04,"/imovel/venda-apartamento-brasilia-df-2-quartos-sclrn-710-1089910",5000
"Asa Norte ","SCRN 714/715 ?TIMO APARTAMENTO",290000,1,40,"15971",2014-01-03,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-714-715-871008",7250
"Asa Norte ","SCLRN 716 BLOCO C - ACEITA FGTS / FINANCIAMENTO",290000,2,44.78,"5776",2014-01-02,"/imovel/venda-apartamento-brasilia-df-2-quartos-sclrn-716-bloco-c-827174",6476.1054041983
"Asa Sul ","SQS 404 PORTARIA 24 HORAS, MUITO BOM!!!",295000,1,29,"18066",2014-01-22,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqs-404-368680",10172.4137931034
"Asa Norte ","SCRN 712/713 BLOCO F ",298000,1,42,"5023",2013-12-26,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-712-713-bloco-f-967279",7095.2380952381
"Asa Sul ","SQS 405 BLOCO U ACEITA TROCA POR AP DE 2 OU 3 QTOS.",3e+05,1,32,"11991",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqs-405-bloco-u-866729",9375
"Asa Sul ","SQS 409 BLOCO B SEGUNDO ANDAR",3e+05,1,33.3,"8059",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqs-409-bloco-b-1156189",9009.00900900901
"Sudoeste ","CCSW 03 SILCO VARANDAS - REFORMADO",3e+05,1,30.7,"14999",2014-01-24,"/imovel/venda-apartamento-brasilia-df-1-quarto-ccsw-03-1149709",9771.98697068404
"Asa Norte ","SCLRN 712 * REFORMADO * VISTA LIVRE * 54M?",3e+05,1,54,"5915",2014-01-23,"/imovel/venda-apartamento-brasilia-df-1-quarto-sclrn-712-1162323",5555.55555555556
"Asa Sul ","SQS 405 BLOCO U ",3e+05,1,30,"9182",2014-01-06,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqs-405-bloco-u-907281",10000
"Asa Norte ","SCRN 714/715 - COM ELEVADOR - REFORMADO - COM ARM?RIOS",3e+05,1,38,"13933",2013-12-12,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-714-715-1111078",7894.73684210526
"Sudoeste ","QMSW 04 LINDA KIT MOBILIADA+VAGA 9914-6999",306000,1,37,"11621",2014-01-23,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-04-475346",8270.27027027027
"Sudoeste ","QMSW 04 KIT MOBILIADA - DOUBLE KIT - 9668 4243",306000,1,37,"11546",2013-12-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-04-784952",8270.27027027027
"Sudoeste ","CLSW 300B ",310000,1,42,"17001",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-clsw-300b-730184",7380.95238095238
"Asa Sul ","SQS 405 **VISTA  LIVRE, NASCENTE**",310000,1,30,"7107",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-sqs-405-772411",10333.3333333333
"Asa Norte ","SHN QUADRA 01 AO LADO DA ESPLANADA/MAN? GARRINCHA",310000,1,28,"11991",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-shn-quadra-01-1155460",11071.4285714286
